sessionId (id),page (text),latency (int),timeOnPage (float)
b7fddf00,explore,98,94.777
38bc1af6,explore,139,161.996
b5da8408,welcome,7,36.04
38d9e91d,query,17,464.865
38a271d8,query,28,339.003
b95624a3,query,18,304.633
37b3f54d,explore,530,91.64
b821442d,welcome,7,27.051
35c5412f,query,17,335.628
b8083d73,explore,22,117.285
3794ed75,explore,215,121.914
3884d3b8,query,116,342.598
b88659dd,explore,153,182.432
38b09a88,query,24,425.627
394107ce,welcome,16,25.072
b63335a2,,57,
37cca1bf,explore,79,76.366
b8b0e081,welcome,112,36.347
b8bff102,,102,
b8c172c6,welcome,109,22.422
b8083d73,query,17,333.554
35cfb7c7,query,148,345.539
38e2c522,welcome,7,27.491
39185800,explore,44,84.178
39048856,,90,
b7599dee,query,130,330.91
b97b1f52,welcome,53,36.918
388c423e,welcome,17,20.998
38d9e91d,welcome,33,18.632
385d4712,index,46,41.338
b7cf0af2,welcome,49,22.45
b7dba582,explore,22,68.95
3825c62e,query,94,395.759
b8acdbe3,query,76,314.504
b7e1c8a3,welcome,20,39.323
38071ebe,query,17,426.809
b9069c73,query,17,449.968
381dc512,query,47,372.109
b7150245,welcome,8,22.455
379b1d53,welcome,109,30.723
b99b685a,explore,143,132.313
381e9853,,16,
3911c751,query,295,268.261
b957115e,explore,299,124.285
b817c50e,query,47,434.521
39463fd5,welcome,31,38.697
b8997f4c,query,180,469.675
38498b7e,query,130,463.722
b8656837,explore,36,83.245
b98ba0ac,query,42,324.52
3867b4fa,query,184,383.829
387347f1,welcome,12,36.709
b8c83caf,welcome,47,28.544
384ccca7,query,17,437.372
3882b813,query,138,433.217
37dd5930,explore,101,87.168
379b1d53,query,19,325.237
388d08f0,query,122,385.224
3861d537,query,358,415.837
3472f217,welcome,47,21.422
b874f71a,welcome,50,47.189
37a6168f,query,148,278.645
37921011,index,4,40.089
394857b7,explore,90,89.661
37e627d2,explore,90,145.633
b9058a3a,,22,
38a7586c,,119,
b8660f88,index,24,41.628
b7c6f37d,query,211,399.535
b94a5b1f,query,73,313.055
38a2afc1,,31,
b7b11343,welcome,29,28.301
389a5a09,explore,43,175.442
b7d41379,explore,70,78.801
396a04f5,explore,47,104.052
b9166fd4,explore,89,93.282
3858424d,query,86,285.132
b826784b,query,56,394.523
382533f1,explore,78,171.027
3431e690,query,32,458.327
3912716d,welcome,93,24.948
b7e9cf39,query,222,280.736
38be11d8,explore,138,187.146
b8d1dabb,welcome,16,28.96
b9322811,query,52,362.012
387347f1,explore,22,98.596
b743e5c6,welcome,7,40.518
38a9f6f5,query,248,400.355
38a9f6f5,explore,123,131.484
b9071e0f,,56,
35b444af,query,265,289.947
379141c9,,27,
b98ba0ac,welcome,33,39.028
37f37c41,query,35,326.831
38826074,explore,99,100.005
38ef3cac,explore,22,110.126
b8aff57d,query,17,368.05
37f9de59,explore,348,60.866
38d87afe,query,34,358.308
38a53e49,explore,26,132.877
383abed1,explore,177,134.296
b8adaed6,query,135,260.174
b8dd316b,query,38,456.887
38a2afc1,query,129,441.661
37dbf1b8,,119,
b83f119a,query,17,358.017
37b3f54d,,10,
38dd988d,explore,103,92.458
b83f119a,explore,335,91.048
38a9f6f5,welcome,13,16.718
3911c751,welcome,24,31.853
379141c9,explore,262,70.599
b95624a3,explore,22,88.149
b788a64e,query,18,474.273
4.00E+101,,10,
b81e28fd,query,53,344.114
392269f6,explore,75,86.041
38d0167a,explore,157,129.527
b84369c5,query,123,353.818
b8cc587b,explore,70,139.96
b8da93e2,explore,533,160.45
4.00E+101,,10,
b8adaed6,query,87,317.392
3825c62e,welcome,7,16.743
b8c172c6,welcome,15,36.426
b7b187ea,query,21,462.342
38498b7e,explore,178,155.643
b8a61c3d,welcome,7,34.582
37921011,query,212,366.186
b802185b,welcome,23,15.541
38bf4757,query,51,391.506
38acbfc9,query,17,392.859
b925aacd,explore,80,98.559
38e9c25e,explore,123,128.238
b802185b,query,67,297.588
37f37c41,explore,110,91.404
37f7103f,index,32,47.212
b99b685a,query,17,435.93
b7ca73fe,query,141,344.488
b4d56bdc,welcome,22,34.258
b7f5bb66,query,17,393.637
37c64359,explore,204,131.273
b9071e0f,index,7,54.595
b8c172c6,explore,36,150.745
3911c453,query,121,293.731
b8aff57d,explore,22,135.234
b803639d,query,173,317.015
b7b59c98,explore,32,102.421
37ad3faf,query,56,310.809
37d6bbaf,,10,
b874f71a,explore,149,76.298
37921011,index,4,58.782
38d9e91d,query,17,388.505
37b3f54d,query,108,374.574
b83daced,query,17,350.673
b86cb46d,explore,333,135.547
38edab26,query,101,333.059
39185800,explore,22,28.821
b7eff8f0,index,19,52.445
b8463fd8,welcome,86,33.409
b891a53e,explore,144,73.681
38a9f6f5,query,55,376.38
b94a5b1f,welcome,40,31.283
34a81b8f,explore,401,46.087
3912716d,,13,
b78ab09a,explore,51,123.594
b83f119a,index,4,39.61
b8997506,query,120,324.717
38da9d49,explore,22,78.482
b866983b,query,298,251.324
b93a5bf5,query,17,325.363
3928b75f,explore,96,124.021
38bf4757,query,64,254.633
b83f119a,query,32,345.747
b7ca73fe,welcome,19,27.288
3928b75f,query,25,358.029
38b6b950,explore,126,126.12
3.80E+08,query,17,346.459
b89358fa,query,73,427.016
38b6b950,index,10,45.074
b8569c03,query,48,358.205
b6b8e96f,query,54,394.03
b8cc8870,welcome,13,30.113
b63335a2,query,17,441.67
38876233,welcome,11,40.382
b7cd9fae,welcome,128,25.744
38da9d49,explore,193,151.127
377f7199,welcome,7,31.137
b72f7963,index,13,33.714
38551544,query,100,468.892
3801f09c,query,125,307.424
b8c83caf,query,26,519.551
b6958ebc,explore,63,119.016
b99b685a,explore,50,114.797
b8adaed6,query,17,485.176
b6e9962b,query,103,342.096
b8660f88,query,17,459.201
39185800,explore,109,102.981
38d0167a,query,68,347.517
b7e1c8a3,query,17,323.929
36d0a1dc,,18,
3821abf6,query,29,421.587
38bf4757,query,35,380.136
3871107a,query,279,337.992
3911c453,,28,
b78d0280,explore,234,127.47
39098b28,query,209,448.046
37a1058d,,64,
b87cde16,query,59,452.777
3.92E+09,explore,60,90.282
394857b7,welcome,50,28.345
b6f8d90b,explore,169,99.567
38fa3202,explore,54,142.204
388473f3,query,84,222.723
b78b6241,welcome,22,29.817
3962b232,,40,
38d3b1c9,query,17,401.31
b867a142,query,162,338.367
37f37c41,welcome,7,22.536
b8a3d144,welcome,29,26.797
38106d1a,explore,67,142.081
37f9de59,query,24,379.91
3912a215,,42,
382db31a,index,17,42.835
b73cf870,query,295,321.889
